제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 
제주시,이도2동,기타음료식품,남,20대,225400,14
제주시,삼도2동,의원,여,30대,418000,26
서귀포시,남원읍,슈퍼 마켓,남,30대,2562110,160
제주시,애월읍,스넥,남,30대,12524700,785
서귀포시,남원읍,슈퍼 마켓,여,30대,1566340,99
제주시,연동,의원,남,50대,585000,37
제주시,이도2동,약국,여,50대,1105105,70
서귀포시,예래동,기타음료식품,남,20대,2086270,133
제주시,이도2동,기타음료식품,여,20대,266500,17
서귀포시,예래동,기념품 점,남,30대,1346900,87
서귀포시,성산읍,악세 사리,여,20대,278000,18
제주시,삼도2동,의원,남,30대,324000,21
서귀포시,성산읍,기념품 점,여,20대,4709200,307
제주시,애월읍,스넥,여,30대,13055600,852
서귀포시,대륜동,슈퍼 마켓,남,50대,2043170,134
서귀포시,남원읍,슈퍼 마켓,남,40대,4076770,268
서귀포시,예래동,슈퍼 마켓,남,30대,934870,62
제주시,이도2동,스넥,여,50대,994400,66
제주시,용담2동,기타음료식품,여,20대,1129000,75
제주시,노형동,슈퍼 마켓,남,30대,14139030,944
서귀포시,성산읍,의원,여,40대,508100,34
서귀포시,성산읍,기타음료식품,여,50대,925010,62
제주시,이도2동,의원,남,40대,1845680,124
제주시,노형동,약국,여,50대,1975450,133
제주시,삼도2동,슈퍼 마켓,여,20대,726100,49
서귀포시,성산읍,정장(여성),여,20대,590800,40
제주시,연동,약국,남,50대,2199100,149
제주시,애월읍,스넥,남,20대,7214300,489
제주시,용담2동,슈퍼 마켓,남,40대,5929720,406
제주시,노형동,스넥,남,40대,8029940,550
제주시,용담2동,슈퍼 마켓,남,50대,4682360,322
서귀포시,남원읍,스넥,여,50대,1088400,75
제주시,연동,스넥,여,20대,14646000,1012
제주시,이도2동,스넥,남,40대,3950300,273
서귀포시,성산읍,의원,여,20대,506100,35
제주시,애월읍,기타음료식품,남,40대,648500,45
제주시,연동,슈퍼 마켓,남,30대,21126720,1471
제주시,용담2동,기타음료식품,남,40대,1047400,73
서귀포시,성산읍,기념품 점,남,20대,2972100,208
서귀포시,성산읍,기타음료식품,여,20대,1921580,135
제주시,용담2동,슈퍼 마켓,남,30대,3934560,277
제주시,애월읍,슈퍼 마켓,남,20대,5399670,381
서귀포시,남원읍,스포츠레져용품,남,20대,141000,10
제주시,연동,약국,여,40대,2805530,199
제주시,연동,기타음료식품,여,40대,211300,15
제주시,애월읍,약국,여,50대,308600,22
서귀포시,남원읍,스넥,남,30대,3609800,258
제주시,연동,약국,여,30대,4439180,318
제주시,노형동,스넥,남,50대,3346820,240
서귀포시,남원읍,스넥,여,30대,3452600,248
서귀포시,대륜동,의원,여,40대,236500,17
제주시,연동,약국,남,40대,3404610,245
제주시,애월읍,스넥,여,20대,14597400,1052
제주시,삼도2동,악세 사리,남,20대,138400,10
제주시,노형동,슈퍼 마켓,여,20대,5720600,414
제주시,연동,슈퍼 마켓,여,20대,8413520,611
제주시,삼도2동,약국,여,50대,247000,18
서귀포시,성산읍,기타음료식품,남,20대,1522500,111
제주시,용담2동,슈퍼 마켓,여,30대,2458920,180
제주시,이도2동,스넥,남,50대,1481300,109
제주시,애월읍,약국,남,50대,516300,38
서귀포시,예래동,슈퍼 마켓,여,40대,487550,36
제주시,이도2동,약국,여,30대,2990335,221
서귀포시,대륜동,슈퍼 마켓,여,40대,1108560,82
제주시,삼도2동,슈퍼 마켓,여,50대,864450,64
서귀포시,성산읍,슈퍼 마켓,남,30대,9341970,692
제주시,노형동,스넥,여,40대,4730060,352
서귀포시,예래동,슈퍼 마켓,남,50대,1904310,142
서귀포시,예래동,기타음료식품,여,20대,2587310,193
제주시,연동,스넥,남,20대,8003200,597
서귀포시,남원읍,약국,남,50대,371500,28
서귀포시,남원읍,스넥,남,20대,3230600,244
제주시,애월읍,약국,여,40대,616700,47
서귀포시,대륜동,슈퍼 마켓,남,20대,603470,46
서귀포시,성산읍,의원,남,50대,707960,54
제주시,노형동,기타음료식품,여,30대,546300,42
제주시,삼도2동,슈퍼 마켓,남,50대,1152800,89
서귀포시,성산읍,의원,남,40대,607800,47
서귀포시,성산읍,슈퍼 마켓,남,20대,7008820,544
제주시,애월읍,슈퍼 마켓,여,20대,5221290,409
서귀포시,대륜동,기타음료식품,여,50대,446650,35
제주시,노형동,스넥,여,50대,1439470,113
제주시,삼도2동,악세 사리,여,20대,368300,29
제주시,용담2동,슈퍼 마켓,여,20대,2297630,181
제주시,노형동,약국,남,40대,4202650,332
제주시,노형동,슈퍼 마켓,남,20대,5139080,408
제주시,용담2동,기타음료식품,남,20대,737600,59
제주시,이도2동,약국,남,30대,2486240,200
서귀포시,성산읍,슈퍼 마켓,여,20대,6478030,522
제주시,이도2동,스넥,여,40대,2430500,196
서귀포시,예래동,기념품 점,남,20대,247700,20
제주시,노형동,기타음료식품,남,20대,394940,32
서귀포시,남원읍,스넥,여,20대,3608600,293
제주시,애월읍,기타음료식품,여,30대,283100,23
제주시,이도2동,스넥,남,30대,4971500,406
제주시,노형동,스넥,남,20대,9118760,745
제주시,연동,의원,남,20대,292300,24
제주시,삼도2동,슈퍼 마켓,여,30대,728420,60
서귀포시,예래동,기념품 점,여,40대,436900,36
서귀포시,성산읍,약국,남,50대,663300,55
제주시,애월읍,기타음료식품,남,50대,168700,14
제주시,연동,약국,남,30대,3210140,267
제주시,용담2동,슈퍼 마켓,남,20대,2804810,235
서귀포시,대륜동,약국,여,50대,334100,28
제주시,연동,기타음료식품,남,20대,187900,16
제주시,노형동,스넥,여,30대,7068650,605
서귀포시,대륜동,기타음료식품,남,40대,1903350,163
제주시,이도2동,의원,남,30대,1365400,117
서귀포시,예래동,슈퍼 마켓,여,50대,279220,24
제주시,삼도2동,약국,남,50대,243400,21
제주시,삼도2동,의원,남,40대,208000,18
제주시,이도2동,약국,남,40대,2135000,186
제주시,노형동,스넥,남,30대,10800970,946
제주시,이도2동,스넥,남,20대,4611900,406
서귀포시,예래동,슈퍼 마켓,여,20대,645710,57
제주시,노형동,약국,남,20대,1793470,159
제주시,용담2동,기타음료식품,남,30대,1217600,108
제주시,삼도2동,슈퍼 마켓,남,40대,1808060,162
서귀포시,남원읍,슈퍼 마켓,여,20대,687720,62
제주시,이도2동,스넥,여,30대,3280700,296
서귀포시,성산읍,약국,남,40대,1320200,120
제주시,노형동,약국,여,30대,5100260,469
서귀포시,성산읍,의원,남,20대,206200,19
제주시,연동,약국,여,20대,2513720,233
제주시,이도2동,기타음료식품,남,50대,150900,14
서귀포시,대륜동,슈퍼 마켓,여,20대,332830,31
제주시,연동,기타음료식품,여,30대,428800,40
제주시,노형동,스넥,여,20대,7159450,669
제주시,용담2동,의원,남,50대,128300,12
서귀포시,남원읍,스포츠레져용품,남,30대,117000,11
제주시,노형동,기타음료식품,남,30대,308220,29
제주시,삼도2동,슈퍼 마켓,남,30대,770270,73
서귀포시,남원읍,스포츠레져용품,여,20대,115000,11
제주시,노형동,약국,남,30대,3949270,379
서귀포시,성산읍,약국,여,40대,675920,65
서귀포시,남원읍,의원,여,50대,114000,11
서귀포시,대륜동,기타음료식품,남,20대,247400,24
제주시,삼도2동,약국,여,20대,513380,50
제주시,용담2동,약국,여,40대,1279100,125
서귀포시,대륜동,약국,남,40대,1083000,107
서귀포시,남원읍,약국,여,50대,199800,20
서귀포시,남원읍,기타음료식품,남,40대,400800,41
서귀포시,성산읍,의원,남,30대,439800,45
서귀포시,예래동,슈퍼 마켓,남,20대,770020,79
서귀포시,남원읍,스포츠레져용품,여,30대,116900,12
서귀포시,남원읍,기타음료식품,여,30대,314650,33
제주시,애월읍,약국,남,40대,562390,59
제주시,용담2동,약국,여,50대,617400,65
제주시,이도2동,스넥,여,20대,5434300,578
제주시,용담2동,약국,여,30대,2090000,223
서귀포시,예래동,기념품 점,여,20대,186700,20
제주시,삼도2동,약국,남,40대,371400,40
서귀포시,대륜동,기타음료식품,남,50대,730800,79
서귀포시,성산읍,약국,여,30대,1017270,110
제주시,용담2동,약국,남,50대,698380,77
제주시,연동,약국,남,20대,1253600,139
서귀포시,대륜동,약국,남,30대,878800,98
제주시,노형동,약국,여,20대,2327500,260
